npi,NPPES Deactivation Date
1497262349,03-08-2023
1295237220,03-08-2023
1609381151,03-08-2023
1124547377,03-08-2023
1689104861,03-08-2023
1366961427,03-08-2023
1548790397,03-08-2023
1629510060,03-08-2023
1902331333,03-08-2023
1043769771,03-08-2023
1093268195,03-08-2023
1992258651,03-08-2023
1811349285,03-08-2023
1457714008,03-08-2023
1972964930,03-08-2023
1437511987,03-08-2023
1336518877,03-08-2023
1225413180,03-08-2023
1114391083,03-08-2023
1235516550,03-08-2023
1730561309,03-08-2023
1952799272,03-08-2023
1629466933,03-08-2023
1518352657,03-08-2023
1760870786,03-08-2023
1447656533,03-08-2023
1407251119,03-08-2023
1477952414,03-08-2023
1831507953,03-08-2023
1023411923,03-08-2023
1598170607,03-08-2023
1922415587,03-08-2023
1053725697,03-08-2023
1952715740,03-08-2023
1154736759,03-08-2023
1639583339,03-08-2023
1649699281,03-08-2023
1578981577,03-08-2023
1720404825,03-08-2023
1598189052,03-08-2023
1427472778,03-08-2023
1275957193,03-08-2023
1144642273,03-08-2023
1740603653,03-08-2023
1235569005,03-08-2023
1831522820,03-08-2023
1114351970,03-08-2023
1770822165,03-08-2023
1952747594,03-08-2023
1235484825,03-08-2023
1295086718,03-08-2023
1831445246,03-08-2023
1598029795,03-08-2023
1902164015,03-08-2023
1316212434,03-08-2023
1194083907,03-08-2023
1528337243,03-08-2023
1144590043,03-08-2023
1407131048,03-08-2023
1548532252,03-08-2023
1730466541,03-08-2023
1265716401,03-08-2023
1023304078,03-08-2023
1770878746,03-08-2023
1083996045,03-08-2023
1912292228,03-08-2023
1295026599,03-08-2023
1710277934,03-08-2023
1477852614,03-08-2023
1124318597,03-08-2023
1710289129,03-08-2023
1326349358,03-08-2023
1992015200,03-08-2023
1245531458,03-08-2023
1356643720,03-08-2023
1124338769,03-08-2023
1326341736,03-08-2023
1528374949,03-08-2023
1881902112,03-08-2023
1023321858,03-08-2023
1336469246,03-08-2023
1730492026,03-08-2023
1487972840,03-08-2023
1609197342,03-08-2023
1124347794,03-08-2023
1245544006,03-08-2023
1013247600,03-08-2023
1205168788,03-08-2023
1720393366,03-08-2023
1730402652,03-08-2023
1649592254,03-08-2023
1386979680,03-08-2023
1275855108,03-08-2023
1295063840,03-08-2023
1427381680,03-08-2023
1750616165,03-08-2023
1063643906,03-08-2023
1528292927,03-08-2023
1174756126,03-08-2023
1841433190,03-08-2023
1083858658,03-08-2023
1376787010,03-08-2023
1699902007,03-08-2023
1598901753,03-08-2023
1083852842,03-08-2023
1972743136,03-08-2023
1902053473,03-08-2023
1871730341,03-08-2023
1174774244,03-08-2023
1356594154,03-08-2023
1285881607,03-08-2023
1285881771,03-08-2023
1376708792,03-08-2023
1912160227,03-08-2023
1588828289,03-08-2023
1821257429,03-08-2023
1699939066,03-08-2023
1477710168,03-08-2023
1922274539,03-08-2023
1740453109,03-08-2023
1730358037,03-08-2023
1144406109,03-08-2023
1912189838,03-08-2023
1033391511,03-08-2023
1619158854,03-08-2023
1457531998,03-08-2023
1629258629,03-08-2023
1154519460,03-08-2023
1235323692,03-08-2023
1992999346,03-08-2023
1174715759,03-08-2023
1558569160,03-08-2023
1881886232,03-08-2023
1104021187,03-08-2023
1417153073,03-08-2023
1215135249,03-08-2023
1720283849,03-08-2023
1427257443,03-08-2023
1821291089,03-08-2023
1518164763,03-08-2023
1750591491,03-08-2023
1184832610,03-08-2023
1417162157,03-08-2023
1962614990,03-08-2023
1023221306,03-08-2023
1629290465,03-08-2023
1619181385,03-08-2023
1104038991,03-08-2023
1467674432,03-08-2023
1679795389,03-08-2023
1457572232,03-08-2023
1386865830,03-08-2023
1689892234,03-08-2023
1720207491,03-08-2023
1750509436,03-08-2023
1861617243,03-08-2023
1013137959,03-08-2023
1912125758,03-08-2023
1265657035,03-08-2023
1497971626,03-08-2023
1336362243,03-08-2023
1003031717,03-08-2023
1215153416,03-08-2023
1982827705,03-08-2023
1891817284,03-08-2023
1508986134,03-08-2023
1174645493,03-08-2023
1912028929,03-08-2023
1942326475,03-08-2023
1124144530,03-08-2023
1083730030,03-08-2023
1013032168,03-08-2023
1639294630,03-08-2023
1548393705,03-08-2023
1871627430,03-08-2023
1487788386,03-08-2023
1578695748,03-08-2023
1376674366,03-08-2023
1689705626,03-08-2023
1174654974,03-08-2023
1982736476,03-08-2023
1871627299,03-08-2023
1750413175,03-08-2023
1295865442,03-08-2023
1669501979,03-08-2023
1477680403,03-08-2023
1558497750,03-08-2023
1548396245,03-08-2023
1760527527,03-08-2023
1881735470,03-08-2023
1346389293,03-08-2023
1851439483,03-08-2023
1487796926,03-08-2023
1821138926,03-08-2023
1760538789,03-08-2023
1073659231,03-08-2023
1477608065,03-08-2023
1568518074,03-08-2023
1578617130,03-08-2023
1609913458,03-08-2023
1164574067,03-08-2023
1487704151,03-08-2023
1417000407,03-08-2023
1861542763,03-08-2023
1780736322,03-08-2023
1366593451,03-08-2023
1508913773,03-08-2023
1659421170,03-08-2023
1164572640,03-08-2023
1396893061,03-08-2023
1548319502,03-08-2023
1790842359,03-08-2023
1700940236,03-08-2023
1750438479,03-08-2023
1548322258,03-08-2023
1740343110,03-08-2023
1245391275,03-08-2023
1538223797,03-08-2023
1023171832,03-08-2023
1992864789,03-08-2023
1659445807,03-08-2023
1598825879,03-08-2023
1295802023,03-08-2023
1306911870,03-08-2023
1114092442,03-08-2023
1720152747,03-08-2023
1790852101,03-08-2023
1992871743,03-08-2023
1568538312,03-08-2023
1417027681,03-08-2023
1932271244,03-08-2023
1053481846,03-08-2023
1013087741,03-08-2023
1184793960,03-08-2023
1982774956,03-08-2023
1366521064,03-08-2023
1629157672,03-08-2023
1588748214,03-08-2023
1245317056,03-08-2023
1013091446,03-08-2023
1902980550,03-08-2023
1164505889,03-08-2023
1710069067,03-08-2023
1619058021,03-08-2023
1255414322,03-08-2023
1306927934,03-08-2023
1972685626,03-08-2023
1346324530,03-08-2023
1790867869,03-08-2023
1891875811,03-08-2023
1962592048,03-08-2023
1043307374,03-08-2023
1013002229,03-08-2023
1710074570,03-08-2023
1528151149,03-08-2023
1659467918,03-08-2023
1023101409,03-08-2023
1851484083,03-08-2023
1841384450,03-08-2023
1255425567,03-08-2023
1548352115,03-08-2023
1437240496,03-08-2023
1073613790,03-08-2023
1891896197,03-08-2023
1417058785,03-08-2023
1982700480,03-08-2023
1457451791,03-08-2023
1922103704,03-08-2023
1407950561,03-08-2023
1053416172,03-08-2023
1306940598,03-08-2023
1861596157,03-08-2023
1659473064,03-08-2023
1922102540,03-08-2023
1831200146,03-08-2023
1407967185,03-08-2023
1306958269,03-08-2023
1013029131,03-08-2023
1952403248,03-08-2023
1588775340,03-08-2023
1457364192,03-08-2023
1609889336,03-08-2023
1528173945,03-08-2023
1558475913,03-08-2023
1508876848,03-08-2023
1306855077,03-08-2023
1285643148,03-08-2023
1427067354,03-08-2023
1962411017,03-08-2023
1184632184,03-08-2023
1912917154,03-08-2023
1538175377,03-08-2023
1700893096,03-08-2023
1770599417,03-08-2023
1043239239,03-08-2023
1881617090,03-08-2023
1821017328,03-08-2023
1821018565,03-08-2023
1790704997,03-08-2023
1093731994,03-08-2023
1417982265,03-08-2023
1770508814,03-08-2023
1528093994,03-08-2023
1376575704,03-08-2023
1205852068,03-08-2023
1043244692,03-08-2023
1851322234,03-08-2023
1417986407,03-08-2023
1467483602,03-08-2023
1053340968,03-08-2023
1396772141,03-08-2023
1699702530,03-08-2023
1871539346,03-08-2023
1851337208,03-08-2023
1780620419,03-08-2023
1861435307,03-08-2023
1962444224,03-08-2023
1942257621,03-08-2023
1417995697,03-08-2023
1730136185,03-08-2023
1528015450,03-08-2023
1295781490,03-08-2023
1780630624,03-08-2023
1467407718,03-08-2023
1982656468,03-08-2023
1174574065,03-08-2023
1619929825,03-08-2023
1700836889,03-08-2023
1982652558,03-08-2023
1962451419,03-08-2023
1952359424,03-08-2023
1013975739,03-08-2023
1720043813,03-08-2023
1477510527,03-08-2023
1346208154,03-08-2023
1174587414,03-08-2023
1457315350,03-08-2023
1568426641,03-08-2023
1699738831,03-08-2023
1538122395,03-08-2023
1629038690,03-08-2023
1144280173,03-08-2023
1043288095,03-08-2023
1114994597,03-08-2023
1750357216,03-08-2023
1063488302,03-08-2023
1548237233,03-08-2023
1467426635,03-08-2023
1699749986,03-08-2023
1598738585,03-08-2023
1083687339,03-08-2023
1346229283,03-08-2023
1942289616,03-08-2023
1902883382,03-08-2023
1982689980,03-08-2023
1801870027,03-08-2023
1457334237,03-08-2023
1013990837,03-08-2023
1023090842,03-08-2023
1780667535,03-08-2023
1306837943,03-08-2023
1467433235,03-08-2023
1922099944,03-08-2023
1275523433,03-08-2023
1295725604,03-08-2023
1083604391,03-08-2023
1508854753,03-08-2023
1063400372,03-08-2023
1780673251,03-08-2023
1851389548,03-08-2023
1730171927,03-08-2023
1306848866,03-08-2023
1942292867,03-08-2023
1508867243,03-08-2023
1801888979,03-08-2023
1689674756,03-08-2023
1184625071,03-08-2023
1659372001,03-08-2023
1083614283,03-08-2023
1336148469,03-08-2023
1205833522,03-08-2023
1346247640,03-08-2023
1285630012,03-08-2023
1467458364,03-08-2023
1508861212,03-08-2023
1811993322,03-08-2023
1053315754,03-08-2023
1710981337,03-08-2023
1437469939,03-07-2023
1770230229,03-07-2023
1427728765,03-07-2023
1376126490,03-07-2023
1336772201,03-07-2023
1780159988,03-07-2023
1942706379,03-07-2023
1235687625,03-07-2023
1497175921,03-07-2023
1750081139,03-07-2023
1609342310,03-07-2023
1811516644,03-07-2023
1700537990,03-07-2023
1245879204,03-07-2023
1508311523,03-07-2023
1043856305,03-07-2023
1699311951,03-07-2023
1508487000,03-07-2023
1770104275,03-07-2023
1558526418,03-07-2023
1013203876,03-07-2023
1205294170,03-07-2023
1992965420,03-07-2023
1811333842,03-07-2023
1649430174,03-07-2023
1285270496,03-07-2023
1457997660,03-07-2023
1649605536,03-07-2023
1124664339,03-07-2023
1780220996,03-07-2023
1568707776,03-07-2023
1851984314,03-07-2023
1699930651,03-07-2023
1952853772,03-07-2023
1144920562,03-07-2023
1659823649,03-07-2023
1477636827,03-07-2023
1376697987,03-07-2023
1235744459,03-07-2023
1295751923,03-07-2023
1255485306,03-07-2023
1093066235,03-07-2023
1326761701,03-07-2023
1700825742,03-07-2023
1326526237,03-07-2023
1265148746,03-07-2023
1447958392,03-07-2023
1134614522,03-06-2023
1437328390,03-06-2023
1831292853,03-06-2023
1639237456,03-06-2023
1104850148,03-06-2023
1720012750,03-06-2023
1952756249,03-06-2023
1205219276,03-06-2023
1033518188,03-06-2023
1639420532,03-06-2023
1992179097,03-06-2023
1164056487,03-06-2023
1962158105,03-06-2023
1891407805,03-06-2023
1841605748,03-06-2023
1700291762,03-06-2023
1902503212,03-06-2023
1699472902,03-06-2023
1154028694,03-06-2023
1427142306,03-06-2023
1487013603,03-06-2023
1124793104,03-06-2023
1871166272,03-06-2023
1730242199,03-06-2023
1700516614,03-06-2023
1073243994,03-06-2023
1386374247,03-06-2023
1962132027,03-06-2023
1740919042,03-06-2023
1568191989,03-06-2023
1528797909,03-06-2023
1225767635,03-06-2023
1497484885,03-06-2023
1902513377,03-06-2023
1174756035,03-06-2023
1790862191,03-06-2023
